culmino_estudio,genero,ingreso_mensual,horas_semanales,ingreso_primer_empleo,categoria_ocupacional,tipo_contrato,sector_laboral,tamanio_empresa,ocupacion_cod,actividad_economica_cod,titulado,cuadro_merito,postgrado,idioma_extranjero,practicas_preprof,gestion_universidad,distrito,salario_hora,departamento_id,carrera_id
1.0,2.0,2600.0,45.0,3.0,3.0,6.0,2.0,5.0,254,8411,1.0,1.0,2.0,3.0,1.0,1.0,SAN JUAN DE LURIGANCHO,13.436692506459949,15,89
1.0,2.0,600.0,30.0,1.0,3.0,2.0,5.0,1.0,243,8521,0.0,1.0,1.0,3.0,1.0,1.0,SAN JUAN DE LURIGANCHO,4.651162790697675,15,119
1.0,2.0,2000.0,44.0,2.0,3.0,2.0,5.0,4.0,268,8521,1.0,1.0,1.0,4.0,1.0,1.0,SANTIAGO DE SURCO,10.570824524312897,15,294
1.0,2.0,1200.0,44.0,4.0,3.0,2.0,3.0,5.0,451,3600,1.0,2.0,1.0,1.0,1.0,2.0,CHINCHA ALTA,6.342494714587739,11,2
1.0,2.0,2500.0,50.0,0.0,3.0,2.0,5.0,3.0,462,6419,1.0,1.0,2.0,3.0,1.0,2.0,CHACLACAYO,11.627906976744185,15,5
1.0,2.0,2300.0,42.0,3.0,3.0,1.0,5.0,5.0,381,6920,1.0,1.0,2.0,3.0,1.0,1.0,SAN MARTIN DE PORRES,12.73532668881506,15,82
1.0,2.0,800.0,43.0,1.0,3.0,7.0,5.0,5.0,945,8530,1.0,1.0,1.0,3.0,1.0,2.0,CHINCHA ALTA,4.3266630611141155,11,2
1.0,2.0,1500.0,12.0,1.0,3.0,5.0,5.0,1.0,236,8620,1.0,1.0,2.0,3.0,2.0,2.0,LOS OLIVOS,29.069767441860467,15,289
1.0,1.0,779.4,56.0,0.0,3.0,7.0,5.0,4.0,945,7729,0.0,2.0,2.0,3.0,1.0,2.0,SANTA EULALIA,3.2367109634551494,15,188
1.0,1.0,4000.0,48.0,6.0,3.0,2.0,5.0,3.0,229,1610,2.0,2.0,2.0,1.0,1.0,1.0,JESUS MARIA,19.379844961240313,15,189
1.0,1.0,1700.0,21.0,2.0,3.0,1.0,5.0,1.0,374,7912,1.0,1.0,2.0,4.0,1.0,2.0,SAN SEBASTIAN,18.826135105204873,8,309
1.0,2.0,2500.0,35.0,0.0,3.0,2.0,5.0,1.0,375,4649,2.0,1.0,1.0,1.0,2.0,2.0,SAN MARTIN DE PORRES,16.611295681063122,15,298
1.0,1.0,3700.0,54.0,0.0,3.0,2.0,5.0,5.0,335,4322,2.0,2.0,2.0,2.0,1.0,1.0,SAN JUAN DE MIRAFLORES,15.934539190353144,15,249
1.0,2.0,750.0,24.0,1.0,3.0,2.0,5.0,5.0,454,5110,2.0,1.0,2.0,3.0,1.0,2.0,AREQUIPA,7.267441860465117,4,312
1.0,2.0,1500.0,44.0,0.0,3.0,2.0,5.0,5.0,335,1030,2.0,1.0,2.0,4.0,1.0,1.0,SAN BORJA,7.928118393234673,15,188
1.0,2.0,2500.0,40.0,0.0,3.0,2.0,5.0,2.0,251,6020,1.0,2.0,2.0,2.0,1.0,2.0,SAN JUAN DE LURIGANCHO,14.534883720930232,15,87
1.0,2.0,1500.0,45.0,0.0,3.0,6.0,2.0,5.0,235,8610,1.0,2.0,2.0,5.0,1.0,2.0,IMPERIAL,7.751937984496124,15,287
1.0,2.0,250.0,12.0,1.0,3.0,5.0,2.0,5.0,945,8411,2.0,2.0,2.0,2.0,1.0,1.0,YANAHUANCA,4.844961240310078,19,289
1.0,2.0,1800.0,40.0,0.0,3.0,5.0,5.0,2.0,229,6202,1.0,1.0,1.0,2.0,1.0,1.0,SAN MARTIN DE PORRES,10.465116279069768,15,243
