carrera,carrera_id
INGENIERÍA AGROINDUSTRIAL,181
INGENIERÍA AGROINDUSTRIAL Y AGRONEGOCIOS,182
INGENIERÍA AGROINDUSTRIAL Y COMERCIO EXTERIOR,183
INGENIERÍA AGRONÓMICA,184
INGENIERÍA AGROPECUARIA,185
INGENIERÍA AGRÍCOLA,186
INGENIERÍA AGRÓNOMA,187
INGENIERÍA ALIMENTARIA (INGENIERÍA DE ALIMENTOS),188
INGENIERÍA AMBIENTAL,189
INGENIERÍA AMBIENTAL Y RECURSOS NATURALES,190
INGENIERÍA AUTOMOTRIZ,191
INGENIERÍA BIOTECNOLÓGICA,192
INGENIERÍA CIVIL,193
INGENIERÍA COMERCIAL,194
INGENIERÍA DE GEOLOGÍA - GEOTECNIA,195
INGENIERÍA DE HIGIENE Y SEGURIDAD INDUSTRIAL,196
INGENIERÍA DE INDUSTRIAS ALIMENTARIAS (INGENIERÍA DE INDUSTRIA ALIMENTARIA E INGENIERÍA INDUSTRIAS ALIMENTARIAS),197
INGENIERÍA DE MATERIALES,198
INGENIERÍA DE MINAS,199
INGENIERÍA DE PETRÓLEO,200
INGENIERÍA DE PETRÓLEO Y GAS NATURAL,201
INGENIERÍA DE PROCESOS QUÍMICOS Y METALÚRGICOS,202
INGENIERÍA DE RECURSOS NATURALES Y ENERGÍAS RENOVABLES,203
INGENIERÍA DE REDES Y COMUNICACIONES,204
INGENIERÍA DE SISTEMAS,205
INGENIERÍA DE SISTEMAS DE INFORMACIÓN,206
INGENIERÍA DE SISTEMAS E INFORMÁTICA ( INGENIERÍA INFORMÁTICA Y DE SISTEMAS),207
INGENIERÍA DE SISTEMAS EMPRESARIALES,208
INGENIERÍA DE SISTEMAS Y COMPUTACIÓN (INGENIERÍA DE COMPUTACIÓN Y SISTEMAS E INGENIERÍA DE SISTEMAS Y CÓMPUTO),209
INGENIERÍA DE SISTEMAS Y GESTIÓN DE TECNOLOGÍAS DE LA INFORMACIÓN,210
INGENIERÍA DE SISTEMAS Y SEGURIDAD INFORMÁTICA,211
INGENIERÍA DE SOFTWARE,212
INGENIERÍA DE TECNOLOGÍAS DE INFORMACIÓN Y SISTEMAS,213
INGENIERÍA DE TELECOMUNICACIONES ( INGENIERÍA DE LAS TELECOMUNICACIONES E INGENIERÍA EN TELECOMUNICACIONES),214
INGENIERÍA DE TRANSPORTES,215
INGENIERÍA ECONÓMICA,216
INGENIERÍA ECONÓMICA Y DE NEGOCIOS,217
INGENIERÍA ELECTRÓNICA,218
INGENIERÍA ELECTRÓNICA - TELECOMUNICACIONES,219
INGENIERÍA ELECTRÓNICA Y TELECOMUNICACIONES,220
INGENIERÍA ELÉCTRICA,221
INGENIERÍA ELÉCTRICA Y ELECTRÓNICA,222
INGENIERÍA EMPRESARIAL,223
INGENIERÍA EN ACUICULTURA,224
INGENIERÍA EN AGRONEGOCIOS,225
INGENIERÍA EN ECOLOGÍA DE BOSQUES TROPICALES,226
INGENIERÍA EN ECOTURISMO,227
INGENIERÍA EN ENERGÍA,228
INGENIERÍA EN GESTIÓN AMBIENTAL ( INGENIERÍA Y GESTIÓN AMBIENTAL ),229
INGENIERÍA EN GESTIÓN EMPRESARIAL (INGENIERIA DE GESTION EMPRESARIAL),230
INGENIERÍA EN TELECOMUNICACIONES Y REDES (INGENIERÍA DE LAS TELECOMUNICACIONES Y REDES),231
INGENIERÍA ESTADÍSTICA,232
INGENIERÍA ESTADÍSTICA E INFORMÁTICA,233
INGENIERÍA FORESTAL,234
INGENIERÍA FORESTAL Y DEL MEDIO AMBIENTE ( INGENIERÍA FORESTAL Y MEDIO AMBIENTE E INGENIERÍA FORESTAL Y AMBIENTAL),235
INGENIERÍA FÍSICA,236
INGENIERÍA GEOFÍSICA,237
INGENIERÍA GEOGRÁFICA,238
INGENIERÍA GEOLÓGICA,239
INGENIERÍA HIDRÁULICA,240
INGENIERÍA INDUSTRIAL,241
INGENIERÍA INDUSTRIAL Y COMERCIAL,242
INGENIERÍA INDUSTRIAL Y SISTEMAS,243
INGENIERÍA INFORMÁTICA,244
INGENIERÍA INFORMÁTICA Y ESTADÍSTICA (INGENIERÍA DE INFORMÁTICA Y ESTADÍSTICA),245
INGENIERÍA MARÍTIMA,246
INGENIERÍA MECATRÓNICA,247
INGENIERÍA MECÁNICA,248
INGENIERÍA MECÁNICA DE FLUIDOS,249
INGENIERÍA MECÁNICA ELÉCTRICA (INGENIERÍA MECÁNICA- ELÉCTRICA E INGENIERÍA MECÁNICA Y ELÉCTRICA),250
INGENIERÍA MECÁNICA ELÉCTRICA Y MECATRÓNICA,251
INGENIERÍA METALÚRGICA (INGENIERÍA DE METALÚRGIA),252
INGENIERÍA METALÚRGICA Y DE MATERIALES (INGENIERÍA METALÚRGIA Y DE MATERIALES),253
INGENIERÍA NAVAL,254
INGENIERÍA PESQUERA,255
INGENIERÍA PETROQUÍMICA,256
INGENIERÍA QUÍMICA,257
INGENIERÍA SANITARIA,258
INGENIERÍA SANITARIA Y AMBIENTAL,259
INGENIERÍA TEXTIL,260
INGENIERÍA TEXTIL Y CONFECCIONES (INGENIERÍA TEXTIL Y DE CONFECCIONES),261
INGENIERÍA TOPOGRÁFICA Y AGRIMENSURA,262
"INGENIERÍA ZOOTECNIA ( INGENIERÍA DE ZOOTECNIA, INGENIERÍA ZOOTÉCNICA E INGENIERÍA DE ZOOTECNISTA )",263
LABORATORIO CLÍNICO,264
LABORATORIO Y ANATOMÍA PATOLÓGICA,265
LITERATURA,266
MARKETING,267
MARKETING Y NEGOCIOS INTERNACIONALES,268
MARKETING Y PUBLICIDAD,269
MATEMÁTICA (MATEMÁTICAS),270
MATEMÁTICA APLICADA,271
MATEMÁTICA E INFORMÁTICA,272
MEDICINA,273
MEDICINA HUMANA,274
MEDICINA VETERINARIA,275
MEDICINA VETERINARIA Y ZOOTECNIA,276
METEOROLOGÍA,277
MICROBIOLOGÍA,278
MICROBIOLOGÍA Y PARASITOLOGÍA,279
MULTIMEDIA Y FOTOGRAFÍA PUBLICITARIA,280
NEGOCIOS INTERNACIONALES ( INTERNATIONAL BUSINESS),281
NEGOCIOS INTERNACIONALES Y TURISMO,282
NUTRICIÓN,283
NUTRICIÓN HUMANA,284
NUTRICIÓN Y DIETÉTICA,285
"NUTRICIÓN, SALUD Y TÉCNICAS ALIMENTARIAS",286
OBSTETRICIA,287
OBSTETRICIA Y PUERICULTURA,288
ODONTOLOGÍA,289
OPTOMETRÍA,290
OTRAS CARRERAS DE EDUCACIÓN TECNOLÓGICA,291
PERIODISMO,292
PESQUERÍA,293
PSICOLOGÍA,294
PSICOLOGÍA DEL CONSUMIDOR,295
PSICOLOGÍA HUMANA,296
PUBLICIDAD,297
QUÍMICA,298
RADIOLOGÍA,299
RELACIONES INDUSTRIALES,300
SOCIOLOGÍA,301
TECNOLOGÍA DEL VESTIDO,302
TECNOLOGÍA MÉDICA,303
TEOLOGÍA,304
TERAPIA DE LENGUAJE,305
TERAPIA FÍSICA Y REHABILITACIÓN,306
TRABAJO SOCIAL,307
TRADUCCIÓN E INTERPRETACIÓN,308
TURISMO,309
TURISMO SOSTENIBLE,310
TURISMO Y ADMINISTRACIÓN,311
TURISMO Y HOTELERÍA,312
TURISMO Y NEGOCIOS,313
"TURISMO, HOTELERÍA Y GASTRONOMÍA",314
"TURISMO, HOTELERÍA Y GESTIÓN CULTURAL",315
VETERINARIA Y ZOOTECNIA,316
ZOOTECNIA,317
